pmid	year	journal	type	queries	title
41234824	2025	Transl Cancer Res	Journal Article	Q1_lung_GRN_disease;Q2_scenic_lung	Integrated multi-omic analysis unravels the characteristics of the metabolism-related intratumoral microbes and establishes a novel signature for predicting prognosis and therapeutic response in lung adenocarcinoma.
41111411	2025	OMICS	Journal Article;Research Support, Non-U.S. Gov't	Q1_lung_GRN_disease;Q11_lung_dev_tf	Pan-Cancer Analyses of Shared and Distinct Gene Expression in 17 Cancers: Rethinking Cancer Classification and Moving Beyond "One Drug, One Disease" Paradigm of Pharmaceutical Innovation.
41048344	2025	Front Bioinform	Journal Article	Q1_lung_GRN_disease;Q11_lung_dev_tf	Key genes associated with brain metastasis in non-small cell lung cancer: novel insights from bioinformatics analysis.
40927188	2025	Front Med (Lausanne)	Journal Article	Q1_lung_GRN_disease;Q9_copd_asthma_tf	Identification and validation for biomarkers associated with mitochondrial metabolism in chronic obstructive pulmonary disease.
40826767	2025	Medicine (Baltimore)	Journal Article	Q1_lung_GRN_disease;Q9_copd_asthma_tf	Deciphering molecular overlaps between COPD and NSCLC subtypes (LUAD and LUSC): An integrative bioinformatics study.
40698946	2025	mBio	Journal Article;Research Support, Non-U.S. Gov't	Q1_lung_GRN_disease;Q2_scenic_lung	Epigenetic control of the ferric uptake regulator (Fur) and fumarate nitrate reductase (FNR) master regulatory proteins contributes to Haemophilus influenzae survival during lung infection.
40666833	2025	bioRxiv	Journal Article;Preprint	Q1_lung_GRN_disease;Q8_ipf_tf	Single cell transcriptomics in a treatment-segregated cohort exposes a STAT3-regulated therapeutic gap in idiopathic pulmonary fibrosis.
40658169	2025	Med Oncol	Journal Article	Q1_lung_GRN_disease;Q11_lung_dev_tf	Deciphering the transcriptional regulatory network driving lung adenocarcinoma progression.
40642530	2025	Front Mol Biosci	Journal Article	Q1_lung_GRN_disease;Q8_ipf_tf	Identification of diagnostic hub genes related to energy metabolism in idiopathic pulmonary fibrosis.
40614386	2025	Biochim Biophys Acta Mol Basis Dis	Journal Article;Research Support, Non-U.S. Gov't	Q1_lung_GRN_disease;Q10_lung_cancer_tf_network	The DLX1-NCS1-MYC axis drives oncogenesis and progression in lung adenocarcinoma.
40588571	2025	Mol Syst Biol	Journal Article	Q1_lung_GRN_disease;Q9_copd_asthma_tf	LaGrACE: estimating gene program dysregulation with latent regulatory network.
40563292	2025	Antioxidants (Basel)	Journal Article;Review	Q1_lung_GRN_disease;Q10_lung_cancer_tf_network	Decoding the NRF2-NOTCH Crosstalk in Lung Cancer-An Update.
40528170	2025	J Transl Med	Journal Article;Research Support, Non-U.S. Gov't	Q1_lung_GRN_disease;Q10_lung_cancer_tf_network	Integrating multi-omics to unveil PSMD12 as a critical gene in promoting brain metastases of lung adenocarcinoma.
40414926	2025	Cell Death Dis	Journal Article	Q1_lung_GRN_disease;Q10_lung_cancer_tf_network	Integrative multi-omics identifies AP-1 transcription factor as a targetable mediator of acquired osimertinib resistance in non-small cell lung cancer.
40029995	2025	Integr Cancer Ther	Journal Article;Research Support, Non-U.S. Gov't	Q1_lung_GRN_disease;Q10_lung_cancer_tf_network	Induction of Senescence in Lung Cancer Cells by Qidongning Formula via the Transcription Factor EGR1.
41256522	2025	bioRxiv	Journal Article;Preprint	Q2_scenic_lung;Q12_pah_bpd_tf	Tobramycin enhances Mycobacterium abscessus fitness through whiB7 induction.
41203628	2025	Cell Death Dis	Journal Article	Q2_scenic_lung;Q10_lung_cancer_tf_network	The transcription factor ZEB2 mediates the antitumor efficacy of tumor-infiltrating lymphocytes in non-small cell lung cancer.
41089696	2025	Front Immunol	Journal Article	Q2_scenic_lung;Q11_lung_dev_tf	Machine learning integration with multi-omics data constructs a robust prognostic model and identifies PTGES3 as a therapeutic target for precision oncology in lung adenocarcinoma.
40493888	2025	Genomics Proteomics Bioinformatics	Journal Article	Q2_scenic_lung;Q11_lung_dev_tf	Spatial Transcriptomics Unveils the Blueprint of Mammalian Lung Development.
39892726	2025	Cell Signal	Journal Article	Q2_scenic_lung;Q8_ipf_tf	Nintedanib improves bleomycin-induced pulmonary fibrosis by inhibiting the Clec7a/SPP1 pathway in interstitial macrophages.
41562054	2025	Front Immunol	Journal Article	Q3_tf_target_database;Q8_ipf_tf	The role of age-related genes in idiopathic pulmonary fibrosis and molecular docking analysis of their drug targets.
40785146	2025	J Cell Mol Med	Journal Article	Q5_lung_chipseq_tf;Q12_pah_bpd_tf	CFTR Gene Regulation in Human Pancreatic Duct, Bile Duct and Sweat Gland Epithelial Cells.
40464702	2025	J Cell Mol Med	Journal Article;Review;Research Support, Non-U.S. Gov't	Q5_lung_chipseq_tf;Q8_ipf_tf	STAT3 Facilitates Super Enhancer Formation to Promote Fibroblast-To-Myofibroblast Differentiation by the Analysis of ATAC-Seq, RNA-Seq and ChIP-Seq.
40654788	2025	bioRxiv	Journal Article;Preprint	Q6_gwas_lung_regulatory;Q9_copd_asthma_tf	miRNA-mRNA network analysis identifies PAX5 as a potential regulator of adaptive immune response in COPD.
40068029	2025	Medicine (Baltimore)	Journal Article	Q6_gwas_lung_regulatory;Q9_copd_asthma_tf	Exploring the causal relationship between PAH and some autoimmune diseases using bidirectional Mendelian randomization analyses.
39866448	2025	Heliyon	Journal Article	Q8_ipf_tf;Q11_lung_dev_tf	PPARG/SPP1/CD44 signaling pathway in alveolar macrophages: Mechanisms of lipid dysregulation and therapeutic targets in idiopathic pulmonary fibrosis.
40877935	2025	Cell Commun Signal	Journal Article	Q10_lung_cancer_tf_network;Q11_lung_dev_tf	Intercellular signaling reinforces single-cell level phenotypic transitions and facilitates robust re-equilibrium of heterogeneous cancer cell populations.
40796933	2025	Sci Rep	Journal Article	Q10_lung_cancer_tf_network;Q11_lung_dev_tf	GPER1 is involved in shaping tumor immune microenvironment and its expression is decreased in NSCLC tumorigenesis.
40279415	2025	Sci Adv	Journal Article	Q10_lung_cancer_tf_network;Q11_lung_dev_tf	MAX inactivation deregulates the MYC network and induces neuroendocrine neoplasia in multiple tissues.
40442177	2025	Nat Commun	Journal Article	Q11_lung_dev_tf;Q12_pah_bpd_tf	Bronchopulmonary dysplasia with pulmonary hypertension associates with semaphorin signaling loss and functionally decreased FOXF1 expression.
39603521	2025	J Pediatr	Journal Article;Multicenter Study;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't	Q11_lung_dev_tf;Q12_pah_bpd_tf	SOX17-Associated Pulmonary Hypertension in Children: A Distinct Developmental and Clinical Syndrome.
42555441	2026	In Silico Pharmacol	Journal Article	Q1_lung_GRN_disease;Q9_copd_asthma_tf	Integrated network pharmacology and molecular docking based insights into transient receptor potential melastatin3 regulatory mechanism in COPD.
42296933	2026	Mol Immunol	Journal Article	Q1_lung_GRN_disease;Q8_ipf_tf	Transcription factor ID3 promotes fibroblast differentiation and proliferation in lung fibrosis through augmenting the TGF-β signaling pathway.
42269884	2026	Genomics	Journal Article;Research Support, Non-U.S. Gov't	Q1_lung_GRN_disease;Q11_lung_dev_tf	Mechanistic insights into sheep pulmonary adenomatosis based on whole transcriptome sequencing.
42260586	2026	J Transl Med	Journal Article	Q1_lung_GRN_disease;Q11_lung_dev_tf	Multiomic characterization of malignant pulmonary nodules and development of a methylation-based diagnostic Model.
42227493	2026	Comb Chem High Throughput Screen	Journal Article	Q1_lung_GRN_disease;Q9_copd_asthma_tf	Identification and Regulation of Common Key Genes in COPD and AD.
42166424	2026	PLoS One	Journal Article	Q1_lung_GRN_disease;Q9_copd_asthma_tf	Identifying and validating ITGB2 and HNRNPAB as diagnostic biomarkers in chronic obstructive pulmonary disease using bioinformatics and Integrated Machine Learning Methods.
